Player,Position,School,College,Height,Weight,40 Time,Vertical Jump,Bench,Broad Jump,3 Cone,Shuttle,Drafted
Shaka Toney,DE,Penn St.,College Stats,6-2,242,4.51,39.0,24,128,6.95,4.28,Washington Football Team / 7th / 246th pick / 2021
Khyiris Tonga,DL,BYU,College Stats,,,,,35,,,,Chicago Bears / 7th / 250th pick / 2021
Kyle Trask,QB,Florida,College Stats,6-5,236,5.10,31.5,,113,7.08,4.60,Tampa Bay Buccaneers / 2nd / 64th pick / 2021
Tommy Tremble,TE,Notre Dame,College Stats,6-3,241,4.60,36.5,20,122,,,Carolina Panthers / 3rd / 83rd pick / 2021
Joe Tryon,OLB,Washington,College Stats,6-5,259,4.69,35.0,22,116,7.18,4.36,Tampa Bay Buccaneers / 1st / 32nd pick / 2021
Jay Tufele,DL,USC,College Stats,6-2,305,5.00,30.0,30,105,7.80,4.88,Jacksonville Jaguars / 4th / 106th pick / 2021
Payton Turner,DL,Houston,College Stats,6-5,268,,35.5,23,,6.98,4.33,New Orleans Saints / 1st / 28th pick / 2021
Jaylen Twyman,DL,Pittsburgh,College Stats,6-1,301,5.40,32.5,40,104,8.00,,Minnesota Vikings / 6th / 199th pick / 2021
Alijah Vera-Tucker,OL,USC,College Stats,6-4,308,5.05,32.0,36,106,7.67,4.70,New York Jets / 1st / 14th pick / 2021
Shaun Wade,CB,Ohio St.,College Stats,6-0,196,,,,,,,Baltimore Ravens / 5th / 160th pick / 2021
Tylan Wallace,WR,Oklahoma St.,College Stats,5-11,194,4.48,33.0,11,112,6.97,4.25,Baltimore Ravens / 4th / 131st pick / 2021
Garret Wallow,LB,TCU,College Stats,,,4.65,32.5,22,122,6.87,4.12,Houston Texans / 5th / 170th pick / 2021
Rashad Weaver,DL,Pittsburgh,College Stats,6-4,259,4.88,32.0,20,114,6.97,4.26,Tennessee Titans / 4th / 135th pick / 2021
Mark Webb,DB,Georgia,College Stats,6-1,207,4.61,36.5,,136,7.30,4.52,Los Angeles Chargers / 7th / 241st pick / 2021
Pete Werner,LB,Ohio St.,College Stats,6-2,238,4.58,39.5,20,122,6.95,4.38,New Orleans Saints / 2nd / 60th pick / 2021
James Wiggins,S,Cincinnati,College Stats,5-11,209,4.40,38.0,22,127,,,Arizona Cardinals / 7th / 243rd pick / 2021
Rachad Wildgoose,CB,Wisconsin,College Stats,5-11,197,4.53,36.0,11,120,7.09,4.18,Buffalo Bills / 6th / 213th pick / 2021
Avery Williams,CB,Boise St.,College Stats,5-8,187,4.43,33.5,19,121,6.88,4.00,Atlanta Falcons / 5th / 183rd pick / 2021
Javonte Williams,RB,North Carolina,College Stats,5-9,212,4.55,36.0,22,123,6.97,4.09,Denver Broncos / 2nd / 35th pick / 2021
Milton Williams,DL,Louisiana Tech,College Stats,6-3,284,4.67,38.5,34,121,6.96,4.33,Philadelphia Eagles / 3rd / 73rd pick / 2021
Rodarius Williams,CB,Oklahoma St.,College Stats,5-11,189,4.50,36.5,14,123,6.98,4.15,New York Giants / 6th / 201st pick / 2021
Seth Williams,WR,Auburn,College Stats,6-3,211,4.49,37.0,12,124,7.20,4.43,Denver Broncos / 6th / 219th pick / 2021
Marco Wilson,CB,Florida,College Stats,5-11,191,4.37,43.5,26,136,6.80,4.13,Arizona Cardinals / 4th / 136th pick / 2021
Zach Wilson,QB,BYU,College Stats,6-2,214,,,,,,,New York Jets / 1st / 2nd pick / 2021
Nahshon Wright,DB,Oregon St.,College Stats,6-4,183,4.46,31.0,6,126,7.24,4.57,Dallas Cowboys / 3rd / 99th pick / 2021
Landon Young,OT,Kentucky,College Stats,6-6,310,5.00,30.5,34,108,7.70,4.89,New Orleans Saints / 6th / 206th pick / 2021
