,Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,FI,LN,pk
242,2016,kenny lawler,California,WR,74.5,203,10.5,33.38,,4.64,,31,111,4.2,7.13,11.28,k,lawler,k-lawler-2016
250,2016,roger lewis,Bowling Green (OH),WR,72.38,201,9.75,32,,4.57,8,33.5,116,4.45,7.58,,r,lewis,r-lewis-2016
251,2016,kolby listenbee,Texas Christian,WR,72,197,8.25,31.38,,4.39,15,35.5,129,,,,k,listenbee,k-listenbee-2016
256,2016,ricardo louis,Auburn,WR,73.75,215,9.5,32.38,,4.43,18,38,132,4.32,7.07,,r,louis,r-louis-2016
259,2016,devin lucien,Arizona State,WR,72.5,201,10.13,31.875,,4.49,13,34.5,117,4.3,6.93,,d,lucien,d-lucien-2016
266,2016,byron marshall,Oregon,WR,69.38,201,9.5,30.25,,4.56,17,29.5,111,4.19,6.99,,b,marshall,b-marshall-2016
267,2016,jalin marshall,Ohio State,WR,70.5,200,9.63,31.5,,4.6,16,37.5,125,4.13,6.8,,j,marshall,j-marshall-2016
274,2016,mitch mathews,Brigham Young,WR,77.63,222,10.38,32.75,,4.49,12,36,129,4.25,6.99,,m,mathews,m-mathews-2016
276,2016,kj maye,Minnesota,WR,68.13,191,8.25,30.5,,4.61,10,33,113,4.35,7.18,,k,maye,k-maye-2016
282,2016,mekale mckay,Cincinnati,WR,75.63,207,9.5,30.63,,4.55,12,35,123,4.63,7.08,11.89,m,mckay,m-mckay-2016
285,2016,jaydon mickens,Washington,WR,69.88,174,9,28.875,,4.54,13,35.5,121,3.93,6.62,,j,mickens,j-mickens-2016
288,2016,braxton miller,Ohio State,WR,73.38,201,9.13,31.75,,4.5,17,35,123,4.07,6.65,10.84,b,miller,b-miller-2016
291,2016,malcolm mitchell,Georgia,WR,71.63,198,10.5,32.63,,4.45,15,36,129,4.34,6.94,,m,mitchell,m-mitchell-2016
293,2016,chris moore,Cincinnati,WR,73,206,9.38,33.38,,4.53,10,37,130,4.2,6.76,11.37,c,moore,c-moore-2016
298,2016,joe morrow,Mississippi State,WR,75.63,211,8.63,33.875,,,,,,,,,j,morrow,j-morrow-2016
302,2016,durron neal,Oklahoma,WR,71,194,9.25,30.5,,4.54,13,32.5,121,4.46,7.22,,d,neal,d-neal-2016
309,2016,dennis norfleet,Tuskegee (AL),WR,66.25,159,8.5,27.5,,4.64,,30.5,115,4.32,6.77,,d,norfleet,d-norfleet-2016
312,2016,marquez north,Tennessee,WR,74.5,223,10.25,33.38,,4.48,17,35,123,4.13,6.9,,m,north,m-north-2016
327,2016,jordan payton,UCLA,WR,73.13,207,10.13,32.5,,4.47,,34.5,121,4.33,7.08,,j,payton,j-payton-2016
328,2016,charone peake,Clemson,WR,74.38,209,9.25,34,,4.45,12,35.5,122,4.46,6.96,11.69,c,peake,c-peake-2016
335,2016,latroy pittman,Florida,WR,70.88,207,10,32.25,,4.69,14,29,103,4.75,7.28,,l,pittman,l-pittman-2016
337,2016,darius powe,California,WR,74.88,220,9,33.5,,4.49,17,34.5,120,4.29,6.94,,d,powe,d-powe-2016
360,2016,demarcus robinson,Florida,WR,73.38,203,9.5,33,,4.59,9,34.5,123,4.19,6.77,,d,robinson,d-robinson-2016
361,2016,devonte robinson,Utah State,WR,73.25,188,8.88,30.25,,4.33,,38,128,4.38,7.33,,d,robinson,d-robinson-2016
365,2016,alonzo russell,Toledo,WR,75.63,206,9.5,33.88,,4.54,12,29.5,112,4.33,7.18,11.88,a,russell,a-russell-2016
371,2016,rashawn scott,Miami (FL),WR,72.88,199,9.38,31.38,,4.54,17,32.5,116,4.33,6.88,,r,scott,r-scott-2016
374,2016,canaan severin,Virginia,WR,74.13,212,9.75,33.125,,,,,,,,,c,severin,c-severin-2016
376,2016,hunter sharp,Utah State,WR,71.5,198,9.38,31.63,,4.58,12,32.5,116,4.19,7.12,11.4,h,sharp,h-sharp-2016
377,2016,tajae sharpe,Massachusetts,WR,74,194,8.38,32.25,,4.55,11,33.5,114,,,,t,sharpe,t-sharpe-2016
379,2016,sterling shepard,Oklahoma,WR,70.25,194,9.75,30.38,,4.48,20,41,123,4.35,7,,s,shepard,s-shepard-2016
380,2016,brandon shippen,Temple,WR,70.63,195,9,30.375,,4.55,17,31.5,117,4.2,6.76,,b,shippen,b-shippen-2016
394,2016,nelson spruce,Colorado,WR,73.13,206,10,30,,4.69,12,35,114,4.2,7.09,11.9,n,spruce,n-spruce-2016
408,2016,michael thomas,Ohio State,WR,74.75,212,10.5,32.13,,4.57,18,35,126,4.13,6.8,11.7,m,thomas,m-thomas-2016
409,2016,mike thomas,Southern Mississippi,WR,73.25,193,9.38,31.375,,4.54,16,36,126,4.26,7.06,,m,thomas,m-thomas-2016
415,2016,laquon treadwell,Mississippi,WR,74,221,9.5,33.38,,4.64,12,33,117,4.3,7.04,,l,treadwell,l-treadwell-2016
416,2016,bryce treggs,California,WR,71.38,190,9.13,30.875,,4.39,16,34,122,4.19,7,,b,treggs,b-treggs-2016
434,2016,damien washington,North Carolina,WR,71.88,190,9,31.625,,4.47,16,35,122,4.31,6.82,,d,washington,d-washington-2016
437,2016,herb waters,Miami (FL),WR,71.75,188,9.25,32.625,,4.51,14,38.5,121,4.1,6.73,,h,waters,h-waters-2016
450,2016,andrew williams,Youngstown State (OH),WR,74.63,191,9.88,31.5,,4.67,13,38.5,126,4.32,7.13,,a,williams,a-williams-2016
455,2016,duke williams,Auburn,WR,74.25,229,9.25,32.5,,4.72,14,30,121,4.47,7.43,,d,williams,d-williams-2016
459,2016,derunnya wilson,Mississippi State,WR,76.63,224,9.25,33.88,,4.85,13,28,113,4.52,7.21,,d,wilson,d-wilson-2016
0,2017,ishmael adams,UCLA,WR,67.88,186,9,29.75,,4.5,15,27,111,4.25,7.03,,i,adams,i-adams-2017
4,2017,rodney adams,South Florida,WR,73.25,189,9,32,,4.44,8,29.5,125,4.28,6.98,11.39,r,adams,r-adams-2017
5,2017,quincy adeboyejo,Mississippi,WR,74.75,197,9.38,31.75,,4.42,8,34.5,123,4.14,6.73,,q,adeboyejo,q-adeboyejo-2017
16,2017,tommy armstrong,Nebraska,WR,72.38,216,9.88,31,,4.57,16,37.5,123,4.11,6.76,,t,armstrong,t-armstrong-2017
18,2017,josh atkinson,Tulsa (OK),WR,72.25,200,10.25,32.625,,4.74,12,33,115,4.39,7.03,,j,atkinson,j-atkinson-2017
43,2017,victor bolden,Oregon State,WR,68.13,178,9,31.13,,4.54,9,32,117,4.22,6.83,11.14,v,bolden,v-bolden-2017
46,2017,kendrick bourne,Eastern Washington,WR,73.25,203,9.13,32.5,,4.68,9,34,125,4.21,6.73,12.21,k,bourne,k-bourne-2017
56,2017,billy brown,Shepherd (WV),WR,75.38,254,10.38,33,,4.7,23,29,118,4.14,6.9,11.75,b,brown,b-brown-2017
63,2017,noah brown,Ohio State,WR,74,222,9.13,31.75,,4.56,19,,,4.33,7.07,,n,brown,n-brown-2017
74,2017,kd cannon,Baylor,WR,71.13,182,8.88,30.75,,4.41,13,37,119,4.2,7.1,,k,cannon,k-cannon-2017
83,2017,jehu chesson,Michigan,WR,74.75,204,9.13,33.25,,4.47,10,35.5,132,4.09,6.7,,j,chesson,j-chesson-2017
94,2017,stacy coley,Miami (FL),WR,72.13,195,9.75,32.25,,4.45,10,34,122,4.39,7.19,,s,coley,s-coley-2017
110,2017,amara darboh,Michigan,WR,73.75,214,9.88,32.63,,4.45,17,36,124,4.26,6.81,11.88,a,darboh,a-darboh-2017
112,2017,corey davis,Western Michigan,WR,74.75,209,9.13,33,31,,,,,4.28,,11.48,c,davis,c-davis-2017
117,2017,marcus davis,Auburn,WR,69,179,9.75,30,,4.53,,31.5,114,4.46,7.49,,m,davis,m-davis-2017
119,2017,reggie davis,Georgia,WR,71.63,158,9.25,31.75,,4.36,4,32,115,4.12,6.94,,r,davis,r-davis-2017
120,2017,reginald davis,Texas Tech,WR,71.75,182,9.25,31,,4.44,9,35,124,4.3,6.76,,r,davis,r-davis-2017
121,2017,robert davis,Georgia State,WR,74.75,219,9.63,33,,4.44,19,41,136,4.28,6.82,11.77,r,davis,r-davis-2017
134,2017,malachi dupre,Louisiana State,WR,74.13,196,9,31.5,,4.52,11,39.5,135,4.26,7.19,,m,dupre,m-dupre-2017
135,2017,travin dural,Louisiana State,WR,73,202,9,32,,4.57,,30.5,116,4.55,7.29,,t,dural,t-dural-2017
150,2017,amba etta-tawo,Syracuse,WR,73.25,208,9.13,32,,4.49,14,31,126,4.32,6.95,,a,etta-tawo,a-etta-tawo-2017
161,2017,isaiah ford,Virginia Tech,WR,73.25,194,9.25,32.63,,4.61,14,35.5,127,4.34,6.94,,i,ford,i-ford-2017
169,2017,ahmad fulwood,Florida,WR,76.13,202,9.25,32,,4.51,,34.5,124,4.38,7.29,,a,fulwood,a-fulwood-2017
178,2017,shelton gibson,West Virginia,WR,71.13,191,8.88,32,,4.5,8,32,118,4.2,6.83,11.79,s,gibson,s-gibson-2017
183,2017,chris godwin,Penn State,WR,73,209,9.13,31.625,,4.42,19,36,125,4,7.01,,c,godwin,c-godwin-2017
186,2017,kenny golladay,Northern Illinois,WR,75.75,218,9.75,32,,4.5,18,35.5,120,4.15,7,,k,golladay,k-golladay-2017
191,2017,deante gray,Texas Christian,WR,67.88,184,7.88,30.25,,4.43,12,32.5,115,4.28,7.01,,d,gray,d-gray-2017
194,2017,trey griffey,Arizona,WR,74.13,209,9.75,32.125,,4.59,17,32.5,118,4.5,7.32,,t,griffey,t-griffey-2017
202,2017,chad hansen,California,WR,73.75,202,10.13,32.13,,4.53,11,35,119,4.13,6.74,11.17,c,hansen,c-hansen-2017
203,2017,justin hardee,Illinois,WR,72.63,197,9.5,32.25,,4.36,17,34.5,129,4.26,7.28,,j,hardee,j-hardee-2017
209,2017,keon hatcher,Arkansas,WR,73.25,212,9.5,32,,4.64,16,,,4.28,,,k,hatcher,k-hatcher-2017
210,2017,carlos henderson,Louisiana Tech,WR,70.75,199,9.13,31.38,,4.46,13,36,131,4.35,7.18,,c,henderson,c-henderson-2017
222,2017,krishawn hogan,Marian (IN),WR,74.63,222,9.88,32.13,,4.56,13,36.5,124,4.21,6.74,,k,hogan,k-hogan-2017
226,2017,mack hollins,North Carolina,WR,75.75,221,9.75,33.25,,4.53,,,,,,,m,hollins,m-hollins-2017
228,2017,brandon holloway,Mississippi State,WR,67,160,9,29.75,,4.34,,38.5,122,4.09,6.87,,b,holloway,b-holloway-2017
234,2017,bug howard,North Carolina,WR,75.63,221,10.38,33.13,,4.58,15,37.5,119,4.14,6.95,,b,howard,b-howard-2017
274,2017,zay jones,East Carolina (NC),WR,73.88,201,9,32.5,,4.45,15,36.5,133,4.01,6.79,,z,jones,z-jones-2017
296,2017,cooper kupp,Eastern Washington,WR,73.75,204,9.5,31.5,37,4.62,,31,116,4.08,6.75,,c,kupp,c-kupp-2017
299,2017,jerome lane,Akron,WR,74.13,226,9.75,31.5,,4.6,16,35,125,4.12,6.87,,j,lane,j-lane-2017
324,2017,keevan lucas,Tulsa (OK),WR,69.13,192,9.88,31.88,,4.55,11,32.5,119,4.43,7.23,,k,lucas,k-lucas-2017
331,2017,josh malone,Tennessee,WR,74.63,208,9.63,31.38,,4.4,10,30.5,121,4.19,7.05,11.32,j,malone,j-malone-2017
334,2017,gabe marks,Washington State,WR,70.75,189,8.75,30.38,,4.56,11,29.5,117,4.2,7.01,,g,marks,g-marks-2017
346,2017,isaiah mckenzie,Georgia,WR,67.25,173,8.88,28.875,,4.42,11,36,123,4.15,6.64,,i,mckenzie,i-mckenzie-2017
360,2017,alonzo moore,Nebraska,WR,72.88,199,9.88,31.625,,4.47,,32,119,4.17,6.79,,a,moore,a-moore-2017
361,2017,david moore,East Central (OK),WR,72.63,219,9.5,30.625,,4.43,26,36.5,124,4.38,6.98,,d,moore,d-moore-2017
365,2017,drew morgan,Arkansas,WR,71.75,190,9.5,30.38,,4.74,10,30,112,4.12,6.85,11.31,d,morgan,d-morgan-2017
388,2017,speedy noil,Texas A&M,WR,71.13,199,9.25,30,,4.45,18,43.5,133,,,,s,noil,s-noil-2017
400,2017,francis owusu,Stanford,WR,74.5,221,9,32,,4.37,12,39,127,4.13,7.07,,f,owusu,f-owusu-2017
402,2017,zach pascal,Old Dominion (VA),WR,73.75,219,10,32,,4.55,14,36,126,4.29,7.11,,z,pascal,z-pascal-2017
424,2017,james quick,Louisville,WR,72.25,186,9,30.75,,4.6,11,31,115,4.39,7,,j,quick,j-quick-2017
428,2017,michael rector,Stanford,WR,72.13,193,9.25,32.5,,4.42,13,36.5,129,4.19,6.77,,m,rector,m-rector-2017
434,2017,josh reynolds,Texas A&M,WR,74.75,194,9.38,31.5,,4.52,,37,124,4.13,6.83,11.68,j,reynolds,j-reynolds-2017
439,2017,jalen robinette,Air Force,WR,74.75,220,10.88,32.38,,4.62,13,31.5,120,4.46,6.77,,j,robinette,j-robinette-2017
443,2017,darreus rogers,Southern California,WR,72.63,216,10.13,32,,4.9,8,26.5,112,4.54,7.22,11.39,d,rogers,d-rogers-2017
448,2017,fred ross,Mississippi State,WR,72.63,213,9.25,31.25,,4.51,10,35,113,4.28,6.99,,f,ross,f-ross-2017
449,2017,john ross,Washington,WR,70.75,188,8.75,31.5,16,4.22,,37,133,4.33,,,j,ross,j-ross-2017
451,2017,travis rudolph,Florida State,WR,72.25,189,9.25,31.88,,4.65,12,31.5,114,4.46,6.93,,t,rudolph,t-rudolph-2017
455,2017,curtis samuel,Ohio State,WR,71,196,9.5,31.25,22,4.31,18,37,119,4.33,7.09,,c,samuel,c-samuel-2017
456,2017,kendall sanders,Arkansas State,WR,70.88,196,10.25,32.5,,4.56,15,39,128,4.62,7.55,,k,sanders,k-sanders-2017
463,2017,artavis scott,Clemson,WR,70.25,193,9.38,31,,4.61,13,31,116,4.49,7.19,,a,scott,a-scott-2017
464,2017,ricky seals-jones,Texas A&M,WR,76.63,243,9.63,33.13,,4.69,17,28,121,4.33,7.46,,r,seals-jones,r-seals-jones-2017
471,2017,r.j. shelton,Michigan State,WR,70.25,200,9,30.25,,4.64,17,32,109,4.23,6.91,,r,shelton,r-shelton-2017
480,2017,corey smith,Ohio State,WR,72.25,183,9.13,30.625,,4.71,,35,117,4.23,7.28,,c,smith,c-smith-2017
486,2017,juju smith-schuster,Southern California,WR,73.25,215,10.5,32.88,,4.54,15,32.5,120,5.01,6.93,,j,smith-schuster,j-smith-schuster-2017
491,2017,dwayne stanford,Oregon,WR,75.25,213,10.63,33.5,,,17,,,,,,d,stanford,d-stanford-2017
493,2017,jamari staples,Louisville,WR,75,195,9.5,33.5,,4.51,,36,130,4.14,,,j,staples,j-staples-2017
496,2017,tony stevens,Auburn,WR,76,212,9.63,32.375,,4.49,12,34.5,126,4.34,7.15,,t,stevens,t-stevens-2017
498,2017,ardarius stewart,Alabama,WR,71.25,204,9.38,32.5,20,4.49,,34,124,4.21,,11.23,a,stewart,a-stewart-2017
500,2017,manny stocker,Pittsburgh,WR,73.38,210,9.5,31,,4.51,,33,127,4.38,7.24,,m,stocker,m-stocker-2017
502,2017,damoreea stringfellow,Mississippi,WR,73.88,218,10.63,33.25,,4.62,17,36,130,4.54,7.25,,d,stringfellow,d-stringfellow-2017
504,2017,ryan switzer,North Carolina,WR,68.5,181,9.25,28,,4.51,11,32,116,4,6.77,11.14,r,switzer,r-switzer-2017
510,2017,taywan taylor,Western Kentucky,WR,71,203,9.25,32.63,,4.5,13,33.5,132,4.21,6.57,,t,taylor,t-taylor-2017
511,2017,trent taylor,Louisiana Tech,WR,67.63,181,8.25,28.75,,4.63,13,33,117,4.01,6.74,,t,taylor,t-taylor-2017
520,2017,noel thomas,Connecticut,WR,72.13,205,8.75,30,,4.63,9,32.5,118,,,,n,thomas,n-thomas-2017
522,2017,chris thompson,Florida,WR,71.13,171,9.25,31.125,,4.48,6,34.5,121,4.25,7,,c,thompson,c-thompson-2017
524,2017,ryan timmons,Kentucky,WR,70,201,8.38,29.625,,4.47,15,32,111,4.37,7.13,,r,timmons,r-timmons-2017
551,2017,greg ward,Houston,WR,70.5,182,9.88,31.125,,4.59,10,34.5,115,4.31,6.9,,g,ward,g-ward-2017
560,2017,dede westbrook,Oklahoma,WR,71.63,178,9,30.625,,4.39,8,34.5,120,4.34,7.2,,d,westbrook,d-westbrook-2017
561,2017,jordan westerkamp,Nebraska,WR,71.25,194,9.38,30.5,,,,,,,,,j,westerkamp,j-westerkamp-2017
563,2017,robert wheelwright,Wisconsin,WR,73.88,205,9.13,31.875,,4.6,15,38,128,4.14,6.68,,r,wheelwright,r-wheelwright-2017
566,2017,kermit whitfield,Florida State,WR,67.75,185,8.5,30,,4.44,8,32.5,120,4.37,7.17,,k,whitfield,k-whitfield-2017
569,2017,chad williams,Grambling State (LA),WR,72.5,207,9.75,32,,4.43,21,35.5,123,4.21,7.06,,c,williams,c-williams-2017
572,2017,jalen williams,Massachusetts,WR,74.38,209,9.38,31,,4.55,14,40.5,119,,,,j,williams,j-williams-2017
578,2017,mike williams,Clemson,WR,75.75,218,9.38,33.38,17,4.54,15,32.5,121,,,,m,williams,m-williams-2017
584,2017,dontre wilson,Ohio State,WR,70.13,183,8.5,30.625,,4.58,,33,112,4.1,6.96,,d,wilson,d-wilson-2017
587,2017,jesus wilson,Florida State,WR,69.13,189,9.38,31.375,,4.57,10,,119,4.57,,,j,wilson,j-wilson-2017
596,2017,deangelo yancey,Purdue,WR,73.63,220,9.75,32.875,,4.53,21,35.5,121,4.27,6.84,,d,yancey,d-yancey-2017
598,2017,ishmael zamora,Baylor,WR,75.5,224,8.38,33,,4.53,13,34,120,4.31,7.16,,i,zamora,i-zamora-2017
5,2018,deontez alexander,Franklin,WR,73.25,196,8.63,32,,4.35,15,37.5,130,4.08,6.91,,d,alexander,d-alexander-2018
25,2018,marcell ateman,Oklahoma State,WR,76.5,216,9.88,32.88,,4.62,13,34,121,4.25,7.07,11.94,m,ateman,m-ateman-2018
38,2018,cameron batson,Texas Tech,WR,68.25,175,9,28.875,,4.35,14,39,124,4,6.69,,c,batson,c-batson-2018
47,2018,braxton berrios,Miami (FL),WR,68.63,184,9.25,28,,4.44,11,36,110,4.18,6.72,,b,berrios,b-berrios-2018
49,2018,saeed blacknall,Penn State,WR,74,208,9.88,33.375,,4.37,24,32.5,127,4.19,6.77,,s,blacknall,s-blacknall-2018
68,2018,deontay burnett,Southern California,WR,71.63,186,8.63,31.5,,,,,,,,,d,burnett,d-burnett-2018
71,2018,deon cain,Clemson,WR,73.88,202,8.75,33,,4.43,11,33.5,115,4.37,6.71,11.78,d,cain,d-cain-2018
73,2018,antonio callaway,Florida,WR,70.63,200,9.5,31.5,,4.41,7,34,121,4.33,7,,a,callaway,a-callaway-2018
77,2018,dylan cantrell,Texas Tech,WR,74.88,226,9.25,31.38,,4.59,18,38.5,130,4.03,6.56,10.85,d,cantrell,d-cantrell-2018
82,2018,darren carrington,Utah,WR,74.25,199,10.38,32.75,,4.78,9,36,120,4.51,6.96,,d,carrington,d-carrington-2018
90,2018,d.j. chark,Louisiana State,WR,74.88,199,9.25,32.38,,4.34,16,40,129,,,,d,chark,d-chark-2018
97,2018,james clark,Virginia Tech,WR,69,180,8.88,29.875,,4.49,6,36.5,123,4.31,7.32,,j,clark,j-clark-2018
98,2018,simmie cobbs,Indiana,WR,75.13,220,9.25,32,,4.64,11,30,113,4.32,6.7,11.2,s,cobbs,s-cobbs-2018
109,2018,keke coutee,Texas Tech,WR,69.75,181,8.38,29.88,,4.43,14,34.5,113,4.15,6.93,,k,coutee,k-coutee-2018
131,2018,jawill davis,Bethune-Cookman (FL),WR,72.88,191,9,32.5,,4.38,14,39,123,4.56,7.52,,j,davis,j-davis-2018
138,2018,john diarse,Texas Christian,WR,71.38,211,9.75,33.625,,4.58,14,33.5,121,4.4,7.19,,j,diarse,j-diarse-2018
174,2018,armanti foreman,Texas,WR,71.75,205,10,32,,4.58,17,35,120,4.28,7.23,,a,foreman,a-foreman-2018
176,2018,robert foster,Alabama,WR,73.63,196,9.25,32.13,,4.41,,31,116,4.2,6.9,11.9,r,foster,r-foster-2018
177,2018,daurice fountain,Northern Iowa,WR,73.5,206,10.13,34,,4.51,14,42.5,134,4.29,7.02,,d,fountain,d-fountain-2018
186,2018,russell gage,Louisiana State,WR,72,186,9.13,33,,4.5,15,39,122,4.25,7.03,,r,gage,r-gage-2018
187,2018,michael gallup,Colorado State,WR,72.75,205,9.25,31.5,,4.51,10,36,122,4.37,6.95,11.84,m,gallup,m-gallup-2018
200,2018,donald gray,Mississippi State,WR,69.63,204,9.25,32.25,,4.62,16,32,118,4.41,7.12,,d,gray,d-gray-2018
202,2018,davon grayson,East Carolina (NC),WR,72.75,199,9.38,31.38,,4.51,19,34.5,124,4.4,7.14,,d,grayson,d-grayson-2018
211,2018,daesean hamilton,Penn State,WR,72.63,203,9.38,31,,4.52,16,34.5,118,4.15,6.84,,d,hamilton,d-hamilton-2018
226,2018,quadree henderson,Pittsburgh,WR,68,192,9.88,29.5,,4.5,12,32.5,120,4.28,6.89,,q,henderson,q-henderson-2018
256,2018,ishmael hyman,James Madison (VA),WR,72,196,8.63,31.625,,4.45,,30,116,4.37,7.14,,i,hyman,i-hyman-2018
273,2018,richie james,Middle Tennessee State,WR,70.13,183,9.25,31.25,,4.48,6,35.5,122,4.16,6.87,11.44,r,james,r-james-2018
275,2018,adonis jennings,Temple,WR,74.25,203,9.38,32.625,,4.57,,31,116,4.31,7.06,,a,jennings,a-jennings-2018
276,2018,ricky jeune,Georgia Tech,WR,74.13,213,9.63,32.5,,4.56,15,36,119,4.39,6.96,,r,jeune,r-jeune-2018
281,2018,garrett johnson,Kentucky,WR,70.25,169,8.75,30.375,,4.5,12,40,118,4.26,6.81,,g,johnson,g-johnson-2018
305,2018,christian kirk,Texas A&M,WR,70.38,201,9.88,30.38,,4.47,20,35.5,115,4.45,7.09,12.03,c,kirk,c-kirk-2018
306,2018,keith kirkwood,Temple,WR,74.5,221,9.5,33.75,,4.45,,35,125,4.43,6.94,,k,kirkwood,k-kirkwood-2018
312,2018,chris lacy,Oklahoma State,WR,75,205,9.75,31.25,,4.51,11,33.5,120,4.6,7.29,,c,lacy,c-lacy-2018
319,2018,jordan lasley,UCLA,WR,73,203,9.63,32.75,,4.5,8,34.5,112,4.19,7.27,,j,lasley,j-lasley-2018
322,2018,allen lazard,Iowa State,WR,76.63,227,9.75,32.25,,4.55,17,38,122,4.33,7.11,,a,lazard,a-lazard-2018
347,2018,tavares martin,Washington State,WR,72.63,177,9.13,32.13,,4.8,,31.5,111,4.52,7.09,,t,martin,t-martin-2018
354,2018,ray-ray mccloud,Clemson,WR,69.5,190,9.25,30.25,,4.53,13,34.5,113,4.32,6.89,,r,mccloud,r-mccloud-2018
367,2018,anthony miller,Memphis,WR,71.13,201,10.63,31.63,,4.5,22,39,125,4.26,6.65,,a,miller,a-miller-2018
370,2018,steven mitchell,Southern California,WR,70.25,189,9.38,30.38,,4.56,13,32.5,121,4.4,6.75,,s,mitchell,s-mitchell-2018
372,2018,d.j. moore,Maryland,WR,72,210,9.63,31.63,,4.42,15,39.5,132,4.07,6.95,11.18,d,moore,d-moore-2018
373,2018,jmon moore,Missouri,WR,74.63,207,9.38,32.88,,4.6,21,38,120,4.04,6.56,,j,moore,j-moore-2018
386,2018,charles nelson,Oregon,WR,68.13,176,8.25,28.875,,4.57,16,31.5,114,4.35,7.06,,c,nelson,c-nelson-2018
417,2018,dante pettis,Washington,WR,72.5,186,9.5,32.25,,,,,,,,,d,pettis,d-pettis-2018
419,2018,cam phillips,Virginia Tech,WR,72.13,201,8.88,30.5,,4.79,12,29.5,113,4.45,7.19,,c,phillips,c-phillips-2018
423,2018,demornay pierson-el,Nebraska,WR,68.63,194,9.63,30.875,,4.57,14,37.5,120,4.28,6.98,,d,pierson-el,d-pierson-el-2018
428,2018,brandon powell,Florida,WR,68,181,8.88,29.25,,4.59,,32,115,4.15,6.88,,b,powell,b-powell-2018
430,2018,byron pringle,Kansas State,WR,73.13,203,9.25,32,,4.46,15,33.5,120,4.4,6.87,,b,pringle,b-pringle-2018
431,2018,austin proehl,North Carolina,WR,69.13,182,8.5,28.875,,,11,34,113,4.07,6.75,,a,proehl,a-proehl-2018
435,2018,trey quinn,Southern Methodist (TX),WR,71.38,203,10.13,30.75,,4.55,17,33.5,116,4.19,6.91,11.4,t,quinn,t-quinn-2018
440,2018,damion ratley,Texas A&M,WR,73.75,196,9.5,31,,4.39,12,38,124,4.23,6.92,,d,ratley,d-ratley-2018
448,2018,calvin ridley,Alabama,WR,72.5,189,9.13,31.625,,4.43,15,31,110,4.41,6.88,,c,ridley,c-ridley-2018
453,2018,korey robertson,Southern Mississippi,WR,72.63,212,9.13,32.875,,4.56,13,34,123,4.4,7.55,,k,robertson,k-robertson-2018
455,2018,terryon robinson,Western Carolina,WR,69.63,194,8.88,31.5,,4.65,13,33,112,4.64,7.7,,t,robinson,t-robinson-2018
458,2018,shaq roland,West Georgia,WR,72.63,184,8.38,31.25,,4.62,,30,112,4.44,6.9,,s,roland,s-roland-2018
461,2018,devin ross,Colorado,WR,69.38,192,9.25,30.875,,4.52,16,35,123,4.23,6.94,,d,ross,d-ross-2018
472,2018,jaleel scott,New Mexico State,WR,76.75,218,10,33.5,,4.56,16,34.5,124,4.4,7.2,,j,scott,j-scott-2018
483,2018,trent sherfield,Vanderbilt,WR,72.25,203,9.63,31.875,,4.45,19,32.5,125,4.2,6.9,,t,sherfield,t-sherfield-2018
488,2018,cam sims,Alabama,WR,75.63,212,9.63,33.25,,4.59,,34,123,4.49,7.57,,c,sims,c-sims-2018
490,2018,jordan smallwood,Oklahoma,WR,74,219,9.13,31,,4.53,21,39,130,4.26,6.95,,j,smallwood,j-smallwood-2018
499,2018,thadd smith,Boston College,WR,68.38,167,8.88,29.25,,4.51,10,34,120,4.43,7,,t,smith,t-smith-2018
501,2018,trequan smith,Central Florida,WR,73.75,203,9.5,33.375,,4.49,12,37.5,130,4.5,6.97,,t,smith,t-smith-2018
506,2018,kevin spears,Jacksonville State (AL),WR,73.75,202,9.75,31.5,,4.69,4,,113,4.35,7.11,,k,spears,k-spears-2018
509,2018,equanimeous st. brown,Notre Dame,WR,76.75,214,9.75,33,,4.48,20,34.5,,,,,e,brown,e-brown-2018
519,2018,courtland sutton,Southern Methodist (TX),WR,75.38,218,9.75,32.375,,4.54,18,35.5,124,4.11,6.57,,c,sutton,c-sutton-2018
523,2018,auden tate,Florida State,WR,76.88,228,9.38,33.75,,4.68,,31,112,4.58,7.37,,a,tate,a-tate-2018
551,2018,marquez valdes-scantling,South Florida,WR,76,206,10,32.25,,4.37,15,30.5,124,4.17,6.85,,m,valdes-scantling,m-valdes-scantling-2018
566,2018,james washington,Oklahoma State,WR,71,213,9.75,32.375,,4.54,14,34.5,120,4.32,7.11,,j,washington,j-washington-2018
569,2018,justin watson,Pennsylvania,WR,74.38,215,9.25,33.75,,4.44,20,40,124,4.26,7.08,,j,watson,j-watson-2018
571,2018,jester weah,Pittsburgh,WR,74.25,211,9.63,31.125,,4.43,15,38,129,4.41,7.24,,j,weah,j-weah-2018
578,2018,karaun white,West Virginia,WR,73,206,9.63,32.25,,4.52,24,33.5,118,4.57,7.16,,k,white,k-white-2018
583,2018,jake wieneke,South Dakota State,WR,76,221,9.88,33,,4.67,9,34,114,4.37,7.24,,j,wieneke,j-wieneke-2018
592,2018,taj williams,Texas Christian,WR,74.88,199,9.25,32.125,,4.5,,34,124,4.44,7.05,,t,williams,t-williams-2018
